name,url,tier,category,state_code,fetch_method,check_every_days,notes
Minnesota State Arts Board,https://www.arts.state.mn.us/,P1_OFFICIAL,STATE,MN,HTML,14,Homepage - locate grants page
Michigan Arts and Culture Council,https://www.michiganbusiness.org/industries/macc/macc-grants/,P1_OFFICIAL,STATE,MI,HTML,14,
North Carolina Arts Council,https://www.ncarts.org/resources/grants/grants-organizations,P1_OFFICIAL,STATE,NC,HTML,14,
Tennessee Arts Commission,https://tnartscommission.org/grants,P1_OFFICIAL,STATE,TN,HTML,14,
Oregon Arts Commission,https://www.oregonartscommission.org/,P1_OFFICIAL,STATE,OR,HTML,14,Homepage - locate grants page
Ohio Arts Council,https://oac.ohio.gov/,P1_OFFICIAL,STATE,OH,HTML,14,Homepage - locate grants page
Indiana Arts Commission,https://www.in.gov/arts/programs-and-services/funding/arts-project-support/,P1_OFFICIAL,STATE,IN,HTML,14,
Missouri Arts Council,https://missouriartscouncil.org/wp-content/uploads/2026/01/Missouri-Arts-Council-Grant-Overview.pdf,P1_OFFICIAL,STATE,MO,PDF,30,
Kansas Creative Arts Industries Commission,https://www.kansascommerce.gov/about-us/commissions-partners/creative-arts-industries-commission/,P1_OFFICIAL,STATE,KS,HTML,14,
Nevada Arts Council,https://www.nvartscouncil.org/grants/,P1_OFFICIAL,STATE,NV,HTML,14,
Louisiana Division of the Arts,https://www.crt.louisiana.gov/cultural-development/arts/grants/,P1_OFFICIAL,STATE,LA,HTML,14,Louisiana Project Grants via 9 regional arts councils
Utah Division of Arts & Museums,https://artsandmuseums.utah.gov/?p=20562,P1_OFFICIAL,STATE,UT,HTML,14,Project grants reportedly suspended - verify
Virginia Commission for the Arts,https://vca.virginia.gov/grant,P1_OFFICIAL,STATE,VA,HTML,14,
Wisconsin Arts Board,https://artsboard.wisconsin.gov/pages/Community/GrantPrograms.aspx,P1_OFFICIAL,STATE,WI,HTML,7,
Oklahoma Arts Council,https://oklahoma.gov/arts/grants/grants-for-organizations/community_arts_experience_grants.html,P1_OFFICIAL,STATE,OK,HTML,14,
Alabama State Council on the Arts,https://arts.alabama.gov/,P1_OFFICIAL,STATE,AL,HTML,14,Homepage - locate grants page
Kentucky Arts Council,http://artscouncil.ky.gov/,P1_OFFICIAL,STATE,KY,HTML,14,Homepage - locate grants page
South Carolina Arts Commission,https://www.southcarolinaarts.com,P1_OFFICIAL,STATE,SC,HTML,14,Homepage - locate grants page
Arkansas Arts Council,https://www.arkansasheritage.com/funding/art-grants,P1_OFFICIAL,STATE,AR,HTML,14,
Idaho Commission on the Arts,http://www.arts.idaho.gov/,P1_OFFICIAL,STATE,ID,HTML,14,Homepage - locate grants page
